barcode,name,initial_price,price
4660304070411,"SMART FOX",20000,24000
4660304070428,"SMART FOX OLMA",20000,24000
4630037511666,"VEIIY GEL",26000,35000
4780142550156,"BELILA GEL 1L",11000,14000
4601313005070,"KAPLYA 1L RASSIYA",17500,20000
4601313005063,"KAPLYA 1L RASSIYA LEMON",17500,20000
4780024632901,"ROSHA GEL SUYUQ 1L QULPINOY",11000,14000
4780014480741,"ALIYA 1L",7000,8000
4780014480703,"ALIYA 1L CHISNOK",7000,8000
4780140570057,"GROS OYNA SUV",18000,24000
4780024932124,"RING OYNA SUV",10000,14000
4780010570514,"XAYOT OYNA SUV",5500,7000
4780078760223,"AL OYNA SUV",5500,7000
4780078760087,"AL BLEZNA",6000,8000
4780126550011,AS,6600,8000
4607104280015,"RASIYA BLEZNA",9500,13000
4600171486755,"JET PRELEST",28000,35000
4605966014007,"SIYOOS PRLEST",63000,68000
6928869801139,"ZAR PRLEST",20000,28000
8690506346584,"ARKO PENA 300",31000,38000
8690506512033,"ARKO PENA 200G",26000,30000
8690506492595,"ARKO PENA 200G BLEK",26000,30000
8690506090043,"ARKO PENA 200G OQ",23940,30000
4600104035609,"DIYONIKA PENA 240G",24500,30000
4600104035616,"DIYONIKA PENA 240G",24500,30000
4650056499110,"DIYONIKA PENA 240G",24500,30000
4600104035623,"DIYONIKA PENA 240G",24500,30000
7702018465132,"JELET GEL",30000,45000
4607152949445,"SPORT PENA",23000,28000
4607152945898,"SPORT PENA",23000,28000
4005900745521,"NEVEYA PENA ",50000,55000
4005808540181,"NEVEYA PENA ",37333,42000
4005808588824,"NEVEYA PENA ",37333,42000
4005900497574,"NEVEYA PENA ",37333,42000
4005900163998,"NEVEYA PENA ",37333,42000
4005900843340,"NEVEYA PENA ",37333,42000
4600104037689,"DIYONIKAN SHARIK",19000,25000
4600104033407,"DIYONIKAN SHARIK",19000,25000
4600104033414,"DIYONIKAN SHARIK",19000,25000
4600104035456,"DIYONIKAN SHARIK",19000,25000
4600104029820,"DIYONIKAN SHARIK",19000,25000
4780035710223,"AYIR TIME",10000,12000
4780035710452,"AYIR TIME",10000,12000
4780035710087,"AYIR TIME",10000,12000
4780035710377,"AYIR TIME",10000,12000
4780035710407,"AYIR TIME",10000,12000
4780035710438,"AYIR TIME",10000,12000
4620029245624,"BU PROVENCE ASTIVIJETEL",10000,16000
4620029245587,"BU PROVENCE ASTIVIJETEL",10000,16000
4620029245617,"BU PROVENCE ASTIVIJETEL",10000,16000
